ticket,site,row,section,url,distinctPricesCount,maxTimestampmillis
vividseats-VB5742404927,vividseats,J,331,https://www.vividseats.com//production/3727337?showDetails=VB5742404927&qty=1,1,1662036268783
vividseats-VB5734512571,vividseats,G,65,https://www.vividseats.com//production/3727337?showDetails=VB5734512571&qty=1,1,1662036268783
stubhub--5477238403,stubhub,O,323,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=-5477238403,1,1662035957730
stubhub-5387924698,stubhub,X,313,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5387924698,2,1662036268783
vividseats-VB5734489564,vividseats,H,49,https://www.vividseats.com//production/3727337?showDetails=VB5734489564&qty=1,1,1662036268783
seatgeek-JABI52lNrlB,seatgeek,F,66,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=JABI52lNrlB,3,1662036268783
stubhub-5476169950,stubhub,F,103,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5476169950,1,1662036268783
seatgeek-V4KUm5x9mnA,seatgeek,G,20,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=V4KUm5x9mnA,3,1662036268783
vividseats-VB5647956431,vividseats,L,323,https://www.vividseats.com//production/3727337?showDetails=VB5647956431&qty=1,1,1662036268783
seatgeek-vb3iYxOnw9G,seatgeek,W,314,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=vb3iYxOnw9G,4,1662036268783
seatgeek-7KnteDexwK5,seatgeek,A,57,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=7KnteDexwK5,3,1662036268783
stubhub-5477354018,stubhub,,309,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5477354018,1,1662036268783
seatgeek-EroUbdbRAlP,seatgeek,L,305,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=EroUbdbRAlP,3,1662036268783
vividseats-VB5706882379,vividseats,H,59,https://www.vividseats.com//production/3727337?showDetails=VB5706882379&qty=1,1,1662036268783
vividseats-VB5253290030,vividseats,D,128,https://www.vividseats.com//production/3727337?showDetails=VB5253290030&qty=1,1,1662036268783
stubhub-5478010987,stubhub,,320,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5478010987,1,1662036268783
vividseats-VB5660376089,vividseats,N,314,https://www.vividseats.com//production/3727337?showDetails=VB5660376089&qty=1,1,1662036268783
vividseats-VB5660376842,vividseats,M,314,https://www.vividseats.com//production/3727337?showDetails=VB5660376842&qty=1,1,1662036268783
vividseats-VB5740763947,vividseats,K,135,https://www.vividseats.com//production/3727337?showDetails=VB5740763947&qty=1,1,1662036268783
seatgeek-dNgUZdK26DX,seatgeek,L,310,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=dNgUZdK26DX,3,1662036268783
seatgeek-Zm9h6RPjxda,seatgeek,H,326,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=Zm9h6RPjxda,3,1662036268783
seatgeek-X03tO0OPq64,seatgeek,D,106,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=X03tO0OPq64,3,1662036268783
vividseats-VB5734693134,vividseats,R,332,https://www.vividseats.com//production/3727337?showDetails=VB5734693134&qty=1,1,1662036268783
seatgeek-z3EsDzoBJlA,seatgeek,V,310,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=z3EsDzoBJlA,3,1662036268783
stubhub-5473957269,stubhub,,Promenade,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5473957269,1,1662036268783
vividseats-VB5734524031,vividseats,X,335,https://www.vividseats.com//production/3727337?showDetails=VB5734524031&qty=1,1,1662036268783
vividseats-VB5432131629,vividseats,H,122,https://www.vividseats.com//production/3727337?showDetails=VB5432131629&qty=1,1,1662036268783
seatgeek-A6rsnbaMoEv,seatgeek,B,102,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=A6rsnbaMoEv,3,1662036268783
seatgeek-YgJtqPMMpjg,seatgeek,G,65,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=YgJtqPMMpjg,3,1662036268783
