ticket,site,row,section,title,note,url,distinctPricesCount,maxTimestampmillis
seatgeek-6mOhKZYKrVD,seatgeek,L,336,Section 336 Row L,Section 336 Row L,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZYKrVD,2,1662581280213
seatgeek-6mOhKZYLdB7,seatgeek,C,130,Section 130 Row C,Section 130 Row C,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZYLdB7,6,1662596828482
seatgeek-6mOhKZYPB7m,seatgeek,J,318,Section 318 Row J,Section 318 Row J,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZYPB7m,1,1662567910770
seatgeek-6mOhKZYgVrb,seatgeek,J,29,Section 29 Row J,Section 29 Row J,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZYgVrb,3,1662596828482
seatgeek-6mOhKZk0JBY,seatgeek,E,51,Section 51 Row E,Section 51 Row E,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZk0JBY,11,1662596828482
seatgeek-6mOhKZkDV69,seatgeek,G,47,Section 47 Row G,Section 47 Row G,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZkDV69,3,1662596828482
seatgeek-6mOhKZkDa3R,seatgeek,G,306,Section 306 Row G,Section 306 Row G,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZkDa3R,3,1662481326776
seatgeek-6mOhKZkE4oM,seatgeek,L,127,Section 127 Row L,Section 127 Row L,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZkE4oM,13,1662596828482
seatgeek-6mOhKZkEA9q,seatgeek,J,316,Section 316 Row J,Section 316 Row J,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZkEA9q,3,1662547895287
seatgeek-6mOhKZkEJqG,seatgeek,N,308,Section 308 Row N,Section 308 Row N,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZkEJqG,3,1662520060597
seatgeek-6mOhKZkElPL,seatgeek,A,336,Section 336 Row A,Section 336 Row A,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZkElPL,1,1662530512463
seatgeek-6mOhKZkEoOx,seatgeek,N,133,Section 133 Row N,Section 133 Row N,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZkEoOx,6,1662596828482
seatgeek-6mOhKZkG2lv,seatgeek,G,135,Section 135 Row G,Section 135 Row G,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZkG2lv,6,1662596828482
seatgeek-6mOhKZkN892,seatgeek,H,309,Section 309 Row H,Section 309 Row H,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZkN892,9,1662596828482
seatgeek-6mOhKZkRAbq,seatgeek,N,105,Section 105 Row N,Section 105 Row N,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZkRAbq,12,1662596828482
seatgeek-6mOhKZkYOmq,seatgeek,F,16,Section 16 Row F,Section 16 Row F,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZkYOmq,6,1662596828482
seatgeek-6mOhKZkZrZp,seatgeek,B,320,Section 320 Row B,Section 320 Row B,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZkZrZp,3,1662596828482
seatgeek-6mOhKZkaMJp,seatgeek,K,311,Section 311 Row K,Section 311 Row K,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZkaMJp,10,1662596828482
seatgeek-6mOhKZkdY7G,seatgeek,B,115,Section 115 Row B,Section 115 Row B,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZkdY7G,2,1662334296932
seatgeek-6mOhKZkdYJP,seatgeek,C,303,Section 303 Row C,Section 303 Row C,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZkdYJP,3,1662336601383
seatgeek-6mOhKZkdYPX,seatgeek,F,304,Section 304 Row F,Section 304 Row F,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZkdYPX,2,1662334296932
seatgeek-6mOhKZkdYPp,seatgeek,F,337,Section 337 Row F,Section 337 Row F,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZkdYPp,2,1662334296932
