ticket,timestampmillis,price
seatgeek-A6rsnBgaRkl,1662861034307,1172
seatgeek-A6rsnBgaRkl,1662861101933,1120
seatgeek-A6rsnBgaRkl,1662861206691,1146
seatgeek-A6rsnBgaRkl,1662861364054,1172
seatgeek-A6rsnBgaRkl,1662861414019,1172
seatgeek-A6rsnBgaRkl,1662861799171,1146
seatgeek-A6rsnBgaRkl,1662861991314,1172
stubhub-5501560755,1662861034307,321.08
stubhub-5501560755,1662861034307,321.08
stubhub-5501560755,1662861101933,321.08
stubhub-5501560755,1662861101933,321.08
stubhub-5501560755,1662861206691,321.08
stubhub-5501560755,1662861206691,321.08
stubhub-5501560755,1662861364054,321.08
stubhub-5501560755,1662861364054,321.08
stubhub-5501560755,1662861414019,321.08
stubhub-5501560755,1662861414019,321.08
stubhub-5501560755,1662861799171,321.08
stubhub-5501560755,1662861799171,321.08
stubhub-5501560755,1662861991314,321.08
stubhub-5501560755,1662861991314,321.08
vividseats-VB5771143198,1662861034307,1297
vividseats-VB5771143198,1662861101933,1297
vividseats-VB5771143198,1662861206691,1297
vividseats-VB5771143198,1662861364054,1297
vividseats-VB5771143198,1662861414019,1297
vividseats-VB5771143198,1662861799171,1297
vividseats-VB5771143198,1662861991314,1297
seatgeek-qVjH7o2OkDj,1662861034307,2076
seatgeek-qVjH7o2OkDj,1662861101933,1985
seatgeek-qVjH7o2OkDj,1662861206691,2031
seatgeek-qVjH7o2OkDj,1662861364054,2076
seatgeek-qVjH7o2OkDj,1662861414019,2076
seatgeek-qVjH7o2OkDj,1662861799171,2031
seatgeek-qVjH7o2OkDj,1662861991314,2076
vividseats-VB5771954020,1662861034307,1561
vividseats-VB5771954020,1662861101933,1561
vividseats-VB5771954020,1662861206691,1561
vividseats-VB5771954020,1662861364054,1561
vividseats-VB5771954020,1662861414019,1561
vividseats-VB5771954020,1662861799171,1561
vividseats-VB5771954020,1662861991314,1561
seatgeek-JABI523omYb,1662861034307,3066
seatgeek-JABI523omYb,1662861101933,2932
seatgeek-JABI523omYb,1662861206691,2999
seatgeek-JABI523omYb,1662861364054,3066
seatgeek-JABI523omYb,1662861414019,3066
seatgeek-JABI523omYb,1662861799171,2999
seatgeek-JABI523omYb,1662861991314,3066
seatgeek-05VTRLg46zJ,1662861034307,5832
seatgeek-05VTRLg46zJ,1662861101933,5577
seatgeek-05VTRLg46zJ,1662861206691,5705
