ticket,site,row,section,title,note,url,distinctPricesCount,maxTimestampmillis
stubhub-5489568985,stubhub,R,330,Promenade,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5489568985,1,1662861991314
vividseats-VB5771934584,vividseats,C,103,Loge 103,,https://www.vividseats.com//production/3736730?showDetails=VB5771934584&qty=1,1,1662861991314
vividseats-VB5767756954,vividseats,B,127,Loge 127,,https://www.vividseats.com//production/3736730?showDetails=VB5767756954&qty=1,6,1662921998582
seatgeek-lxVsqnnGO94,seatgeek,J,121,Section 121 Row J,Section 121 Row J,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=lxVsqnnGO94,6,1662916406473
stubhub-5494075495,stubhub,J,121,Loge,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5494075495,1,1662861991314
seatgeek-vb3iYnP8BVK,seatgeek,J,324,Section 324 Row J,Section 324 Row J,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=vb3iYnP8BVK,3,1662861991314
vividseats-VB5773086474,vividseats,P,330,Promenade 330,,https://www.vividseats.com//production/3736730?showDetails=VB5773086474&qty=1,1,1662863508793
vividseats-VB5773091952,vividseats,S,317,Promenade 317,,https://www.vividseats.com//production/3736730?showDetails=VB5773091952&qty=1,1,1662863508793
seatgeek-qVjH7oYBoVg,seatgeek,F,124,Section 124 Row F,Section 124 Row F,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=qVjH7oYBoVg,3,1662908585357
stubhub-5502679833,stubhub,F,134,Loge,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5502679833,1,1662902168881
vividseats-VB5774042975,vividseats,B,320,Promenade 320,,https://www.vividseats.com//production/3736730?showDetails=VB5774042975&qty=1,5,1662921998582
vividseats-VB5774143388,vividseats,K,309,Promenade 309,,https://www.vividseats.com//production/3736730?showDetails=VB5774143388&qty=1,5,1662912041342
