ticket,site,row,section,url
seatgeek-2v0clJaZ6md,seatgeek,21,108,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clJaZ6md
seatgeek-3q7fv94rExV,seatgeek,18,102,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fv94rExV
seatgeek-3q7fv9Bd0qe,seatgeek,19,118,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fv9Bd0qe
seatgeek-3q7fv9DY3K7,seatgeek,17,115,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fv9DY3K7
seatgeek-3q7fv9DY3Oz,seatgeek,17,117,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fv9DY3Oz
seatgeek-3q7fv9DbB93,seatgeek,16,120,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fv9DbB93
seatgeek-3q7fv9Dbl4a,seatgeek,20,114,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fv9Dbl4a
seatgeek-3q7fv9l5aKG,seatgeek,2,210,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fv9l5aKG
seatgeek-3q7fv9w7bkG,seatgeek,16,115,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fv9w7bkG
seatgeek-3q7fv9zpw09,seatgeek,1,316,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fv9zpw09
seatgeek-3q7fvR22jDP,seatgeek,24,225,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvR22jDP
seatgeek-3q7fvR2338b,seatgeek,22,114,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvR2338b
seatgeek-3q7fvR247OE,seatgeek,14,208,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvR247OE
seatgeek-3q7fvR24b3p,seatgeek,14,223,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvR24b3p
seatgeek-3q7fvR26AMa,seatgeek,13,225,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvR26AMa
seatgeek-3q7fvR27jB4,seatgeek,6,8,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvR27jB4
seatgeek-3q7fvR2EjPZ,seatgeek,22,107,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvR2EjPZ
seatgeek-3q7fvR2Kv6X,seatgeek,5,213,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvR2Kv6X
seatgeek-3q7fvR2jqBZ,seatgeek,19,225,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvR2jqBZ
seatgeek-3q7fvR2w37E,seatgeek,3,417,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvR2w37E
seatgeek-3q7fvR3aeAr,seatgeek,8,120,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvR3aeAr
seatgeek-3q7fvR42gJx,seatgeek,22,115,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvR42gJx
seatgeek-3q7fvR42gLx,seatgeek,12,117,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvR42gLx
seatgeek-3q7fvR42gpo,seatgeek,9,209,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvR42gpo
seatgeek-3q7fvR4L7Oa,seatgeek,5,105,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvR4L7Oa
seatgeek-3q7fvR4RxKm,seatgeek,10,112,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvR4RxKm
seatgeek-3q7fvR6DqqG,seatgeek,22,111,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvR6DqqG
seatgeek-3q7fvR6R9Av,seatgeek,19,209,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvR6R9Av
seatgeek-3q7fvR6lANA,seatgeek,21,109,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvR6lANA
seatgeek-3q7fvR6ojv6,seatgeek,3,222,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvR6ojv6
seatgeek-3q7fvREAxYr,seatgeek,Package,VIP,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvREAxYr
