ticket,site,row,section,url
seatgeek-4vXcGDzvPD5,seatgeek,14,510,https://www.seatgeek.com/?listing=4vXcGDzvPD5
seatgeek-5EjuqGJMMdw,seatgeek,15,119,https://www.seatgeek.com/?listing=5EjuqGJMMdw
seatgeek-5EjuqGJMVEg,seatgeek,6,540,https://www.seatgeek.com/?listing=5EjuqGJMVEg
seatgeek-5EjuqGJMqAv,seatgeek,15,Club 116,https://www.seatgeek.com/?listing=5EjuqGJMqAv
seatgeek-5EjuqGJN2kZ,seatgeek,12,Club 135,https://www.seatgeek.com/?listing=5EjuqGJN2kZ
seatgeek-5EjuqGJaBGa,seatgeek,8,536,https://www.seatgeek.com/?listing=5EjuqGJaBGa
seatgeek-5EjuqGJalRr,seatgeek,16,Club 222,https://www.seatgeek.com/?listing=5EjuqGJalRr
seatgeek-5EjuqGJbK7x,seatgeek,12,132,https://www.seatgeek.com/?listing=5EjuqGJbK7x
seatgeek-5EjuqGJbOzm,seatgeek,2,448,https://www.seatgeek.com/?listing=5EjuqGJbOzm
seatgeek-5EjuqGJkY3E,seatgeek,8,330,https://www.seatgeek.com/?listing=5EjuqGJkY3E
seatgeek-5EjuqGJrj5R,seatgeek,15,Club 113,https://www.seatgeek.com/?listing=5EjuqGJrj5R
seatgeek-5EjuqGJx4N7,seatgeek,5,Club 114,https://www.seatgeek.com/?listing=5EjuqGJx4N7
seatgeek-5EjuqGJxEGJ,seatgeek,17,236,https://www.seatgeek.com/?listing=5EjuqGJxEGJ
seatgeek-5EjuqGJxN2Z,seatgeek,13,Club 126,https://www.seatgeek.com/?listing=5EjuqGJxN2Z
seatgeek-5EjuqGJxnP5,seatgeek,5,404,https://www.seatgeek.com/?listing=5EjuqGJxnP5
seatgeek-5EjuqGJxnk3,seatgeek,8,309,https://www.seatgeek.com/?listing=5EjuqGJxnk3
seatgeek-5EjuqGJzgX5,seatgeek,17,310,https://www.seatgeek.com/?listing=5EjuqGJzgX5
seatgeek-5EjuqGK05Rd,seatgeek,21,538,https://www.seatgeek.com/?listing=5EjuqGK05Rd
seatgeek-5EjuqGK2DjE,seatgeek,17,232,https://www.seatgeek.com/?listing=5EjuqGK2DjE
seatgeek-5EjuqGKA2AR,seatgeek,15,539,https://www.seatgeek.com/?listing=5EjuqGKA2AR
seatgeek-5EjuqGKE7en,seatgeek,15,539,https://www.seatgeek.com/?listing=5EjuqGKE7en
seatgeek-5EjuqGKNP8p,seatgeek,15,539,https://www.seatgeek.com/?listing=5EjuqGKNP8p
seatgeek-5EjuqGKNdPL,seatgeek,10,100,https://www.seatgeek.com/?listing=5EjuqGKNdPL
seatgeek-5EjuqGKPral,seatgeek,5,445,https://www.seatgeek.com/?listing=5EjuqGKPral
seatgeek-5EjuqGKRl46,seatgeek,5,439,https://www.seatgeek.com/?listing=5EjuqGKRl46
seatgeek-5EjuqGKZdbR,seatgeek,7,506,https://www.seatgeek.com/?listing=5EjuqGKZdbR
seatgeek-5EjuqGKd2V7,seatgeek,25,234,https://www.seatgeek.com/?listing=5EjuqGKd2V7
seatgeek-5EjuqGKjong,seatgeek,10,Club 113,https://www.seatgeek.com/?listing=5EjuqGKjong
seatgeek-5EjuqGKjox6,seatgeek,12,220,https://www.seatgeek.com/?listing=5EjuqGKjox6
seatgeek-5EjuqGKnRpo,seatgeek,10,201,https://www.seatgeek.com/?listing=5EjuqGKnRpo
seatgeek-5EjuqGKx3ek,seatgeek,1,539,https://www.seatgeek.com/?listing=5EjuqGKx3ek
seatgeek-5EjuqGvKPZ5,seatgeek,16,514,https://www.seatgeek.com/?listing=5EjuqGvKPZ5
seatgeek-6mOhKq25P09,seatgeek,18,Club 125,https://www.seatgeek.com/?listing=6mOhKq25P09
seatgeek-6mOhKq26Y2L,seatgeek,16,Club 116,https://www.seatgeek.com/?listing=6mOhKq26Y2L
seatgeek-6mOhKq2EAbO,seatgeek,16,Club 215,https://www.seatgeek.com/?listing=6mOhKq2EAbO
seatgeek-6mOhKq2Ez2g,seatgeek,8,533,https://www.seatgeek.com/?listing=6mOhKq2Ez2g
seatgeek-6mOhKq2JkEg,seatgeek,21,547,https://www.seatgeek.com/?listing=6mOhKq2JkEg
seatgeek-6mOhKq2MqAL,seatgeek,4,509,https://www.seatgeek.com/?listing=6mOhKq2MqAL
seatgeek-6mOhKq2NpzM,seatgeek,10,543,https://www.seatgeek.com/?listing=6mOhKq2NpzM
seatgeek-6mOhKq2RGRj,seatgeek,8,120,https://www.seatgeek.com/?listing=6mOhKq2RGRj
seatgeek-6mOhKq2XA0x,seatgeek,18,536,https://www.seatgeek.com/?listing=6mOhKq2XA0x
seatgeek-6mOhKq2XEqe,seatgeek,3,406,https://www.seatgeek.com/?listing=6mOhKq2XEqe
seatgeek-6mOhKq2XXV2,seatgeek,7,515,https://www.seatgeek.com/?listing=6mOhKq2XXV2
seatgeek-6mOhKq2aXgO,seatgeek,7,508,https://www.seatgeek.com/?listing=6mOhKq2aXgO
seatgeek-6mOhKq2edDO,seatgeek,9,546,https://www.seatgeek.com/?listing=6mOhKq2edDO
seatgeek-6mOhKq2gvao,seatgeek,13,522,https://www.seatgeek.com/?listing=6mOhKq2gvao
seatgeek-6mOhKq2klvB,seatgeek,9,342,https://www.seatgeek.com/?listing=6mOhKq2klvB
seatgeek-6mOhKq2m3mm,seatgeek,8,Club 114,https://www.seatgeek.com/?listing=6mOhKq2m3mm
seatgeek-6mOhKq2mnnV,seatgeek,2,208,https://www.seatgeek.com/?listing=6mOhKq2mnnV
seatgeek-6mOhKq2vjMa,seatgeek,4,512,https://www.seatgeek.com/?listing=6mOhKq2vjMa
seatgeek-6mOhKqM3aE9,seatgeek,15,510,https://www.seatgeek.com/?listing=6mOhKqM3aE9
seatgeek-6mOhKqM7dJP,seatgeek,9,Club 109,https://www.seatgeek.com/?listing=6mOhKqM7dJP
seatgeek-6mOhKqM7lXM,seatgeek,2,Club 215,https://www.seatgeek.com/?listing=6mOhKqM7lXM
seatgeek-6mOhKqM7lbm,seatgeek,9,220,https://www.seatgeek.com/?listing=6mOhKqM7lbm
seatgeek-6mOhKqM7lq8,seatgeek,15,Club 249,https://www.seatgeek.com/?listing=6mOhKqM7lq8
seatgeek-6mOhKqM7lvj,seatgeek,1,246,https://www.seatgeek.com/?listing=6mOhKqM7lvj
seatgeek-6mOhKqM7n8B,seatgeek,11,100,https://www.seatgeek.com/?listing=6mOhKqM7n8B
seatgeek-6mOhKqM7nPE,seatgeek,14,Club 248,https://www.seatgeek.com/?listing=6mOhKqM7nPE
seatgeek-6mOhKqM7nRa,seatgeek,13,528,https://www.seatgeek.com/?listing=6mOhKqM7nRa
seatgeek-6mOhKqM7naa,seatgeek,9,204,https://www.seatgeek.com/?listing=6mOhKqM7naa
seatgeek-6mOhKqM93vl,seatgeek,4,102,https://www.seatgeek.com/?listing=6mOhKqM93vl
seatgeek-6mOhKqM9kwv,seatgeek,16,537,https://www.seatgeek.com/?listing=6mOhKqM9kwv
seatgeek-6mOhKqMAJkJ,seatgeek,13,Club 128,https://www.seatgeek.com/?listing=6mOhKqMAJkJ
seatgeek-6mOhKqMB3DK,seatgeek,17,544,https://www.seatgeek.com/?listing=6mOhKqMB3DK
seatgeek-6mOhKqMJlm6,seatgeek,15,537,https://www.seatgeek.com/?listing=6mOhKqMJlm6
seatgeek-6mOhKqMVgxK,seatgeek,16,228,https://www.seatgeek.com/?listing=6mOhKqMVgxK
seatgeek-6mOhKqMb0ag,seatgeek,18,233,https://www.seatgeek.com/?listing=6mOhKqMb0ag
seatgeek-6mOhKqMbMDD,seatgeek,18,Club 135,https://www.seatgeek.com/?listing=6mOhKqMbMDD
seatgeek-6mOhKqMbMG2,seatgeek,17,Club 249,https://www.seatgeek.com/?listing=6mOhKqMbMG2
seatgeek-6mOhKqMda5q,seatgeek,12,548,https://www.seatgeek.com/?listing=6mOhKqMda5q
seatgeek-6mOhKqMl7M6,seatgeek,12,210,https://www.seatgeek.com/?listing=6mOhKqMl7M6
seatgeek-6mOhKqMlKq6,seatgeek,1,504,https://www.seatgeek.com/?listing=6mOhKqMlKq6
seatgeek-6mOhKqMzXjK,seatgeek,2,513,https://www.seatgeek.com/?listing=6mOhKqMzXjK
seatgeek-6mOhKqe8R5b,seatgeek,21,545,https://www.seatgeek.com/?listing=6mOhKqe8R5b
seatgeek-6mOhKqeZP4D,seatgeek,10,540,https://www.seatgeek.com/?listing=6mOhKqeZP4D
seatgeek-6mOhKqejlb9,seatgeek,16,Club 128,https://www.seatgeek.com/?listing=6mOhKqejlb9
seatgeek-6mOhKqjgpNn,seatgeek,2,Club 248,https://www.seatgeek.com/?listing=6mOhKqjgpNn
seatgeek-7Kntev30plk,seatgeek,10,245,https://www.seatgeek.com/?listing=7Kntev30plk
seatgeek-7Kntev38mmR,seatgeek,4,426,https://www.seatgeek.com/?listing=7Kntev38mmR
seatgeek-7Kntev39q2k,seatgeek,20,546,https://www.seatgeek.com/?listing=7Kntev39q2k
seatgeek-7Kntev3E9q2,seatgeek,10,Club 223,https://www.seatgeek.com/?listing=7Kntev3E9q2
seatgeek-7Kntev3anRj,seatgeek,12,Club 135,https://www.seatgeek.com/?listing=7Kntev3anRj
seatgeek-7Kntev3kd8E,seatgeek,4,336,https://www.seatgeek.com/?listing=7Kntev3kd8E
seatgeek-7Kntev3wnVz,seatgeek,22,535,https://www.seatgeek.com/?listing=7Kntev3wnVz
seatgeek-7Kntev3zaqg,seatgeek,17,Club 222,https://www.seatgeek.com/?listing=7Kntev3zaqg
seatgeek-7Kntev3zd6w,seatgeek,23,232,https://www.seatgeek.com/?listing=7Kntev3zd6w
seatgeek-7KntevVJ0B9,seatgeek,14,206,https://www.seatgeek.com/?listing=7KntevVJ0B9
seatgeek-7KntevZbKaM,seatgeek,13,Club 114,https://www.seatgeek.com/?listing=7KntevZbKaM
seatgeek-7Kntevj0Rdp,seatgeek,15,510,https://www.seatgeek.com/?listing=7Kntevj0Rdp
seatgeek-7Kntevj74ak,seatgeek,3,100,https://www.seatgeek.com/?listing=7Kntevj74ak
seatgeek-7Kntevj8PEX,seatgeek,5,449,https://www.seatgeek.com/?listing=7Kntevj8PEX
seatgeek-7KntevjJNZD,seatgeek,11,537,https://www.seatgeek.com/?listing=7KntevjJNZD
seatgeek-7KntevjMkoJ,seatgeek,11,235,https://www.seatgeek.com/?listing=7KntevjMkoJ
seatgeek-7KntevjP5zr,seatgeek,16,517,https://www.seatgeek.com/?listing=7KntevjP5zr
seatgeek-7KntevjRO0G,seatgeek,2,Club 244,https://www.seatgeek.com/?listing=7KntevjRO0G
seatgeek-7KntevjYbmA,seatgeek,1,206,https://www.seatgeek.com/?listing=7KntevjYbmA
seatgeek-7KntevjgmOn,seatgeek,18,235,https://www.seatgeek.com/?listing=7KntevjgmOn
seatgeek-7Kntevjl2rj,seatgeek,13,313,https://www.seatgeek.com/?listing=7Kntevjl2rj
seatgeek-7KntevjmE44,seatgeek,6,341,https://www.seatgeek.com/?listing=7KntevjmE44
seatgeek-7KntevjmE86,seatgeek,3,423,https://www.seatgeek.com/?listing=7KntevjmE86
seatgeek-7KntevjmEmE,seatgeek,14,537,https://www.seatgeek.com/?listing=7KntevjmEmE
