ticket,site,row,section,url,distinctPricesCount,maxTimestampmillis
seatgeek-3q7fvR25Xz9,seatgeek,6,Club 127,https://www.seatgeek.com/?listing=3q7fvR25Xz9,5,1644097516616
seatgeek-3q7fvRB95RY,seatgeek,2,431,https://www.seatgeek.com/?listing=3q7fvRB95RY,10,1644785651939
seatgeek-3q7fvRO70gp,seatgeek,19,506,https://www.seatgeek.com/?listing=3q7fvRO70gp,2,1644184048415
seatgeek-3q7fvRO7raD,seatgeek,16,120,https://www.seatgeek.com/?listing=3q7fvRO7raD,1,1644102125391
seatgeek-3q7fvROKBqd,seatgeek,13,540,https://www.seatgeek.com/?listing=3q7fvROKBqd,3,1644261991676
seatgeek-3q7fvROKORe,seatgeek,14,514,https://www.seatgeek.com/?listing=3q7fvROKORe,13,1644780868143
seatgeek-3q7fvROLVPJ,seatgeek,19,512,https://www.seatgeek.com/?listing=3q7fvROLVPJ,11,1644780868143
seatgeek-3q7fvRONO2v,seatgeek,7,306,https://www.seatgeek.com/?listing=3q7fvRONO2v,4,1644015812121
seatgeek-3q7fvROO0V9,seatgeek,13,122,https://www.seatgeek.com/?listing=3q7fvROO0V9,26,1644780868143
seatgeek-3q7fvROOL9M,seatgeek,17,536,https://www.seatgeek.com/?listing=3q7fvROOL9M,4,1644419598764
seatgeek-3q7fvROOknb,seatgeek,13,Club 129,https://www.seatgeek.com/?listing=3q7fvROOknb,2,1644299932848
seatgeek-3q7fvROVN7D,seatgeek,10,518,https://www.seatgeek.com/?listing=3q7fvROVN7D,2,1643944194477
seatgeek-3q7fvROdqjv,seatgeek,4,426,https://www.seatgeek.com/?listing=3q7fvROdqjv,2,1644073603905
seatgeek-3q7fvROgZq9,seatgeek,15,541,https://www.seatgeek.com/?listing=3q7fvROgZq9,2,1644335400124
seatgeek-3q7fvROgxkR,seatgeek,15,506,https://www.seatgeek.com/?listing=3q7fvROgxkR,1,1643924987775
seatgeek-3q7fvROl4rw,seatgeek,19,Club 133,https://www.seatgeek.com/?listing=3q7fvROl4rw,4,1644501911447
seatgeek-3q7fvROzxAN,seatgeek,16,539,https://www.seatgeek.com/?listing=3q7fvROzxAN,3,1644338190908
seatgeek-3q7fvRm2oLD,seatgeek,18,528,https://www.seatgeek.com/?listing=3q7fvRm2oLD,1,1644769449937
seatgeek-3q7fvRm2vNq,seatgeek,8,Club 242,https://www.seatgeek.com/?listing=3q7fvRm2vNq,1,1644769449937
seatgeek-3q7fvRm3eBV,seatgeek,13,534,https://www.seatgeek.com/?listing=3q7fvRm3eBV,2,1644727842508
seatgeek-3q7fvRm3gYB,seatgeek,1,440,https://www.seatgeek.com/?listing=3q7fvRm3gYB,1,1644701054564
seatgeek-3q7fvRm3oEk,seatgeek,3,448,https://www.seatgeek.com/?listing=3q7fvRm3oEk,1,1644762113546
seatgeek-3q7fvRm3p7x,seatgeek,8,542,https://www.seatgeek.com/?listing=3q7fvRm3p7x,21,1644776106797
seatgeek-3q7fvRm3poL,seatgeek,6,Club 215,https://www.seatgeek.com/?listing=3q7fvRm3poL,7,1644769449937
seatgeek-3q7fvRm4EEB,seatgeek,15,517,https://www.seatgeek.com/?listing=3q7fvRm4EEB,5,1644710635934
seatgeek-3q7fvRm4aBN,seatgeek,9,518,https://www.seatgeek.com/?listing=3q7fvRm4aBN,2,1644695170799
seatgeek-3q7fvRm597D,seatgeek,17,542,https://www.seatgeek.com/?listing=3q7fvRm597D,2,1644501911447
seatgeek-3q7fvRm6pXR,seatgeek,8,541,https://www.seatgeek.com/?listing=3q7fvRm6pXR,6,1644780868143
seatgeek-3q7fvRm6r7v,seatgeek,8,532,https://www.seatgeek.com/?listing=3q7fvRm6r7v,5,1644791471351
seatgeek-3q7fvRmLAj2,seatgeek,20,516,https://www.seatgeek.com/?listing=3q7fvRmLAj2,2,1644765623491
seatgeek-3q7fvRmLJ0n,seatgeek,18,522,https://www.seatgeek.com/?listing=3q7fvRmLJ0n,19,1644762769011
seatgeek-3q7fvRmOK23,seatgeek,9,517,https://www.seatgeek.com/?listing=3q7fvRmOK23,1,1644778966544
seatgeek-3q7fvRmOKPz,seatgeek,5,520,https://www.seatgeek.com/?listing=3q7fvRmOKPz,2,1644791815521
seatgeek-3q7fvRmOLmq,seatgeek,1,301,https://www.seatgeek.com/?listing=3q7fvRmOLmq,1,1644779918725
seatgeek-3q7fvRmOPxV,seatgeek,18,111,https://www.seatgeek.com/?listing=3q7fvRmOPxV,3,1644785651939
seatgeek-3q7fvRmOrk7,seatgeek,15,507,https://www.seatgeek.com/?listing=3q7fvRmOrk7,1,1644785651939
seatgeek-3q7fvRmV8Dv,seatgeek,8,551,https://www.seatgeek.com/?listing=3q7fvRmV8Dv,5,1644605522736
seatgeek-3q7fvRmXYlq,seatgeek,14,514,https://www.seatgeek.com/?listing=3q7fvRmXYlq,5,1644605522736
seatgeek-3q7fvRmY0Mr,seatgeek,17,Club 243,https://www.seatgeek.com/?listing=3q7fvRmY0Mr,1,1644465996941
seatgeek-3q7fvRmZ9GY,seatgeek,8,510,https://www.seatgeek.com/?listing=3q7fvRmZ9GY,13,1644728788763
seatgeek-3q7fvRmZrVz,seatgeek,11,547,https://www.seatgeek.com/?listing=3q7fvRmZrVz,1,1644526999394
seatgeek-3q7fvRmZw0D,seatgeek,2,111,https://www.seatgeek.com/?listing=3q7fvRmZw0D,6,1644679735765
seatgeek-3q7fvRmbE7O,seatgeek,19,516,https://www.seatgeek.com/?listing=3q7fvRmbE7O,3,1644791815521
seatgeek-3q7fvRmbLOw,seatgeek,6,102,https://www.seatgeek.com/?listing=3q7fvRmbLOw,10,1644764669679
seatgeek-3q7fvRmbOmY,seatgeek,12,205,https://www.seatgeek.com/?listing=3q7fvRmbOmY,4,1644694225745
seatgeek-3q7fvRmbOzR,seatgeek,3,425,https://www.seatgeek.com/?listing=3q7fvRmbOzR,7,1644692336662
seatgeek-3q7fvRmbeBq,seatgeek,5,247,https://www.seatgeek.com/?listing=3q7fvRmbeBq,5,1644712425754
seatgeek-3q7fvRmeAJD,seatgeek,3,430,https://www.seatgeek.com/?listing=3q7fvRmeAJD,1,1644501911447
seatgeek-3q7fvRmg4re,seatgeek,5,122,https://www.seatgeek.com/?listing=3q7fvRmg4re,4,1644596363218
seatgeek-3q7fvRmgELR,seatgeek,7,Club 108,https://www.seatgeek.com/?listing=3q7fvRmgELR,8,1644712425754
seatgeek-3q7fvRmgK9A,seatgeek,7,235,https://www.seatgeek.com/?listing=3q7fvRmgK9A,12,1644712425754
seatgeek-3q7fvRmgLLX,seatgeek,5,532,https://www.seatgeek.com/?listing=3q7fvRmgLLX,3,1644780868143
seatgeek-3q7fvRmga4o,seatgeek,3,Club 242,https://www.seatgeek.com/?listing=3q7fvRmga4o,11,1644710635934
seatgeek-3q7fvRmga5e,seatgeek,9,Club 116,https://www.seatgeek.com/?listing=3q7fvRmga5e,1,1644501911447
seatgeek-3q7fvRmgabk,seatgeek,9,220,https://www.seatgeek.com/?listing=3q7fvRmgabk,1,1644501911447
seatgeek-3q7fvRmgdN2,seatgeek,23,232,https://www.seatgeek.com/?listing=3q7fvRmgdN2,3,1644536336786
seatgeek-3q7fvRmgxlp,seatgeek,18,131,https://www.seatgeek.com/?listing=3q7fvRmgxlp,3,1644536336786
seatgeek-3q7fvRmj8eB,seatgeek,8,518,https://www.seatgeek.com/?listing=3q7fvRmj8eB,3,1644694225745
seatgeek-3q7fvRmk9nk,seatgeek,25,233,https://www.seatgeek.com/?listing=3q7fvRmk9nk,5,1644551363567
seatgeek-3q7fvRmnGp7,seatgeek,16,544,https://www.seatgeek.com/?listing=3q7fvRmnGp7,2,1644419598764
seatgeek-3q7fvRmo89w,seatgeek,15,Club 217,https://www.seatgeek.com/?listing=3q7fvRmo89w,10,1644789404205
seatgeek-3q7fvRmoG8k,seatgeek,12,515,https://www.seatgeek.com/?listing=3q7fvRmoG8k,2,1644769449937
seatgeek-3q7fvRmqDMp,seatgeek,13,516,https://www.seatgeek.com/?listing=3q7fvRmqDMp,2,1644419598764
seatgeek-3q7fvRmrMvO,seatgeek,14,549,https://www.seatgeek.com/?listing=3q7fvRmrMvO,3,1644683513729
seatgeek-3q7fvRmrRZx,seatgeek,15,539,https://www.seatgeek.com/?listing=3q7fvRmrRZx,2,1644730702930
seatgeek-3q7fvRmrRr6,seatgeek,16,539,https://www.seatgeek.com/?listing=3q7fvRmrRr6,4,1644763719597
seatgeek-3q7fvRmxGB6,seatgeek,4,Club 116,https://www.seatgeek.com/?listing=3q7fvRmxGB6,1,1644536336786
seatgeek-3q7fvRmxwLz,seatgeek,4,417,https://www.seatgeek.com/?listing=3q7fvRmxwLz,14,1644712425754
seatgeek-3q7fvRozxoA,seatgeek,7,512,https://www.seatgeek.com/?listing=3q7fvRozxoA,9,1644780868143
seatgeek-4vXcGD0K5Da,seatgeek,3,335,https://www.seatgeek.com/?listing=4vXcGD0K5Da,4,1644374018750
seatgeek-4vXcGDn2k3K,seatgeek,5,342,https://www.seatgeek.com/?listing=4vXcGDn2k3K,13,1644338190908
seatgeek-4vXcGDn5j02,seatgeek,6,335,https://www.seatgeek.com/?listing=4vXcGDn5j02,13,1644596363218
seatgeek-4vXcGDn5nAk,seatgeek,13,514,https://www.seatgeek.com/?listing=4vXcGDn5nAk,9,1644419598764
seatgeek-4vXcGDn659K,seatgeek,6,339,https://www.seatgeek.com/?listing=4vXcGDn659K,2,1643931399878
seatgeek-4vXcGDn7j9G,seatgeek,8,311,https://www.seatgeek.com/?listing=4vXcGDn7j9G,2,1644526999394
seatgeek-4vXcGDnPBjr,seatgeek,6,Club 223,https://www.seatgeek.com/?listing=4vXcGDnPBjr,4,1644095675117
seatgeek-4vXcGDnXE9G,seatgeek,14,Club 114,https://www.seatgeek.com/?listing=4vXcGDnXE9G,20,1644712425754
seatgeek-4vXcGDnYJoV,seatgeek,20,546,https://www.seatgeek.com/?listing=4vXcGDnYJoV,1,1644155393844
seatgeek-4vXcGDnaXJk,seatgeek,19,537,https://www.seatgeek.com/?listing=4vXcGDnaXJk,6,1644596363218
seatgeek-4vXcGDnbRDb,seatgeek,6,231,https://www.seatgeek.com/?listing=4vXcGDnbRDb,1,1644153552233
seatgeek-4vXcGDnkBnA,seatgeek,3,408,https://www.seatgeek.com/?listing=4vXcGDnkBnA,6,1644605522736
seatgeek-4vXcGDnkewg,seatgeek,13,Club 215,https://www.seatgeek.com/?listing=4vXcGDnkewg,6,1644591544553
seatgeek-4vXcGDnlLP0,seatgeek,2,546,https://www.seatgeek.com/?listing=4vXcGDnlLP0,23,1644785651939
seatgeek-4vXcGDnmmJj,seatgeek,4,335,https://www.seatgeek.com/?listing=4vXcGDnmmJj,3,1644419598764
seatgeek-4vXcGDnn0lv,seatgeek,20,235,https://www.seatgeek.com/?listing=4vXcGDnn0lv,1,1644332254538
seatgeek-4vXcGDnnVpj,seatgeek,14,544,https://www.seatgeek.com/?listing=4vXcGDnnVpj,13,1644501911447
seatgeek-4vXcGDnpRrP,seatgeek,22,230,https://www.seatgeek.com/?listing=4vXcGDnpRrP,1,1644078199610
seatgeek-4vXcGDnpbKa,seatgeek,9,511,https://www.seatgeek.com/?listing=4vXcGDnpbKa,1,1644024991534
seatgeek-4vXcGDnqXlM,seatgeek,12,132,https://www.seatgeek.com/?listing=4vXcGDnqXlM,17,1644777058958
seatgeek-4vXcGDnqm8M,seatgeek,9,532,https://www.seatgeek.com/?listing=4vXcGDnqm8M,9,1644780868143
seatgeek-4vXcGDnr8Xx,seatgeek,20,511,https://www.seatgeek.com/?listing=4vXcGDnr8Xx,1,1644338190908
seatgeek-4vXcGDnrVRO,seatgeek,1,330,https://www.seatgeek.com/?listing=4vXcGDnrVRO,3,1644373081481
seatgeek-4vXcGDnweZ7,seatgeek,2,205,https://www.seatgeek.com/?listing=4vXcGDnweZ7,6,1644261991676
seatgeek-4vXcGDnxmBE,seatgeek,25,231,https://www.seatgeek.com/?listing=4vXcGDnxmBE,5,1644338190908
seatgeek-4vXcGDnz0a9,seatgeek,10,540,https://www.seatgeek.com/?listing=4vXcGDnz0a9,21,1644779918725
seatgeek-4vXcGDnzRKq,seatgeek,13,Club 108,https://www.seatgeek.com/?listing=4vXcGDnzRKq,6,1644458957692
seatgeek-4vXcGDr07or,seatgeek,19,519,https://www.seatgeek.com/?listing=4vXcGDr07or,4,1644778012896
seatgeek-4vXcGDr07pR,seatgeek,14,230,https://www.seatgeek.com/?listing=4vXcGDr07pR,1,1644765623491
seatgeek-4vXcGDr37V2,seatgeek,6,123,https://www.seatgeek.com/?listing=4vXcGDr37V2,3,1644760387085
seatgeek-4vXcGDr3J3v,seatgeek,16,543,https://www.seatgeek.com/?listing=4vXcGDr3J3v,6,1644709689295
seatgeek-4vXcGDr3vZD,seatgeek,7,104,https://www.seatgeek.com/?listing=4vXcGDr3vZD,3,1644702000843
seatgeek-4vXcGDr6ar7,seatgeek,13,533,https://www.seatgeek.com/?listing=4vXcGDr6ar7,2,1644526999394
